scenario,repeat,alpha,n,true_shift_tv,estimate_error_tv,em_iters,em_converged,accuracy,weighted_f1,macro_f1,caveat
reversed,0,0.5,4000,89.1,74.88,38,True,64.9,68.3,62.86,extreme shift; stress test
reversed,0,0.75,4000,89.1,74.88,38,True,65.72,68.79,63.2,extreme shift; stress test
reversed,0,1.0,4000,89.1,74.88,38,True,65.72,68.78,64.08,extreme shift; stress test
reversed,1,0.0,4000,88.96,74.36,38,True,60.95,63.87,54.94,extreme shift; stress test
reversed,1,0.25,4000,88.96,74.36,38,True,63.45,66.74,59.41,extreme shift; stress test
reversed,1,0.5,4000,88.96,74.36,38,True,66.57,69.34,63.58,extreme shift; stress test
reversed,1,0.75,4000,88.96,74.36,38,True,67.53,70.11,64.91,extreme shift; stress test
reversed,1,1.0,4000,88.96,74.36,38,True,67.58,70.07,65.25,extreme shift; stress test
reversed,2,0.0,4000,89.2,73.86,38,True,59.9,63.41,55.19,extreme shift; stress test
reversed,2,0.25,4000,89.2,73.86,38,True,61.8,66.01,59.15,extreme shift; stress test
reversed,2,0.5,4000,89.2,73.86,38,True,65.75,69.06,63.83,extreme shift; stress test
reversed,2,0.75,4000,89.2,73.86,38,True,66.7,69.72,64.43,extreme shift; stress test
reversed,2,1.0,4000,89.2,73.86,38,True,68.25,70.98,65.87,extreme shift; stress test
reversed,3,0.0,4000,89.09,74.2,48,True,59.8,63.5,56.04,extreme shift; stress test
reversed,3,0.25,4000,89.09,74.2,48,True,61.32,65.45,58.46,extreme shift; stress test
reversed,3,0.5,4000,89.09,74.2,48,True,64.5,67.44,60.85,extreme shift; stress test
reversed,3,0.75,4000,89.09,74.2,48,True,66.77,69.88,62.97,extreme shift; stress test
reversed,3,1.0,4000,89.09,74.2,48,True,66.85,69.93,64.24,extreme shift; stress test
reversed,4,0.0,4000,88.35,72.45,39,True,60.25,63.51,54.91,extreme shift; stress test
reversed,4,0.25,4000,88.35,72.45,39,True,62.88,66.71,61.02,extreme shift; stress test
reversed,4,0.5,4000,88.35,72.45,39,True,65.77,68.96,64.86,extreme shift; stress test
reversed,4,0.75,4000,88.35,72.45,39,True,67.67,70.68,66.32,extreme shift; stress test
reversed,4,1.0,4000,88.35,72.45,39,True,67.85,70.78,66.68,extreme shift; stress test
reversed,5,0.0,4000,89.26,74.0,39,True,60.35,63.79,54.4,extreme shift; stress test
reversed,5,0.25,4000,89.26,74.0,39,True,62.68,66.36,57.12,extreme shift; stress test
reversed,5,0.5,4000,89.26,74.0,39,True,66.22,69.36,62.16,extreme shift; stress test
reversed,5,0.75,4000,89.26,74.0,39,True,67.05,70.12,62.45,extreme shift; stress test
reversed,5,1.0,4000,89.26,74.0,39,True,66.65,69.51,62.79,extreme shift; stress test
reversed,6,0.0,4000,88.53,73.66,59,True,59.1,62.43,54.98,extreme shift; stress test
reversed,6,0.25,4000,88.53,73.66,59,True,60.3,63.96,57.66,extreme shift; stress test
reversed,6,0.5,4000,88.53,73.66,59,True,64.92,67.74,63.38,extreme shift; stress test
reversed,6,0.75,4000,88.53,73.66,59,True,66.0,68.75,64.68,extreme shift; stress test
reversed,6,1.0,4000,88.53,73.66,59,True,67.15,69.54,66.38,extreme shift; stress test
reversed,7,0.0,4000,88.7,72.82,33,True,59.5,62.44,54.95,extreme shift; stress test
reversed,7,0.25,4000,88.7,72.82,33,True,61.95,65.3,59.91,extreme shift; stress test
reversed,7,0.5,4000,88.7,72.82,33,True,65.38,68.08,63.96,extreme shift; stress test
reversed,7,0.75,4000,88.7,72.82,33,True,66.77,69.38,65.58,extreme shift; stress test
reversed,7,1.0,4000,88.7,72.82,33,True,66.72,69.21,65.58,extreme shift; stress test
graded,0,0.0,4000,45.4,7.59,71,True,83.2,82.46,67.12,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,0,0.25,4000,45.4,7.59,71,True,84.38,83.71,69.88,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,0,0.5,4000,45.4,7.59,71,True,84.58,83.95,70.07,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
