query_id,articleType,P@1,R@1,AP@1,nDCG@1,P@5,R@5,AP@5,nDCG@5,P@10,R@10,AP@10,nDCG@10
37578,Gloves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026049057788503117,0.0,0.0,0.0,0.03118675852233027
20051,Mufflers,0.0,0.0,0.0,0.027614235877990723,0.2,0.02857142857142857,0.1,0.12782667002282042,0.3,0.08571428571428572,0.11190476190476191,0.17285716997205375
20064,Mufflers,0.0,0.0,0.0,0.0,0.2,0.02857142857142857,0.04,0.07293511143528066,0.2,0.05714285714285714,0.045,0.11453952964017114
11142,Scarves,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.016639371463778335,0.0,0.0,0.0,0.017112180622403578
38439,Handbags,1.0,0.0007716049382716049,1.0,0.47688119626122066,1.0,0.0038580246913580245,1.0,0.47688119626122066,1.0,0.007716049382716049,1.0,0.4768811962612207
17830,Sports Shoes,0.0,0.0,0.0,0.08454209345713619,0.6,0.0016741071428571428,0.3833333333333333,0.5608209025112362,0.7,0.00390625,0.4574999999999999,0.6068296251896281
17195,Sweaters,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.01635470646048379,0.1,0.004016064257028112,0.01111111111111111,0.05138467697705114
40074,Tights,0.0,0.0,0.0,0.04016145559930565,0.0,0.0,0.0,0.028081484941816417,0.0,0.0,0.0,0.038589092815140905
27964,Innerwear Vests,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.04353510938072575,0.0,0.0,0.0,0.04489834660513997
8248,Duffel Bag,0.0,0.0,0.0,0.12189513842264811,0.0,0.0,0.0,0.09213551743605507,0.0,0.0,0.0,0.07970297742878366
25766,Suspenders,1.0,0.02702702702702703,1.0,0.47688119626122066,1.0,0.13513513513513514,1.0,0.7684530978551821,1.0,0.2702702702702703,1.0,0.8267765780177517
48319,Bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024136222652968373,0.1,0.020833333333333332,0.014285714285714285,0.10817204533323674
34274,Dupatta,1.0,0.009523809523809525,1.0,1.0,0.4,0.01904761904761905,0.4,0.4497644785709368,0.2,0.01904761904761905,0.2,0.29859011938263136
12773,Tunics,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.028703630544015545,0.0,0.0,0.0,0.022751759341648813
44114,Fragrance Gift Set,1.0,0.02,1.0,0.47688119626122066,0.4,0.04,0.3,0.23139637382397557,0.3,0.06,0.1875,0.18327085756675796
29132,Sunglasses,1.0,0.0010604453870625664,1.0,1.0,1.0,0.005302226935312832,1.0,0.74301281754902,1.0,0.010604453870625663,1.0,0.6736031295563435
25788,Suspenders,1.0,0.02702702702702703,1.0,0.47688119626122066,1.0,0.13513513513513514,1.0,0.7288392734325447,1.0,0.2702702702702703,1.0,0.8055216914915218
